true/false,Unnamed: 0,prompts,GPT_Response_1,claim,id,gpt_true,gpt_false,,,predicted,
FALSE,0,"Read the claim below, then answer the question at the end:

Claim: Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.,50,,1,,,TRUE,FALSE
FALSE,3,"Read the claim below, then answer the question at the end:

Claim: Post-pandemic stress disorder is caused by COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Post-pandemic stress disorder is caused by COVID-19 vaccines.,918,,1,actual,TRUE,31,16
FALSE,4,"Read the claim below, then answer the question at the end:

Claim: Left-handed people, on average, die younger than right-handed people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,"Left-handed people, on average, die younger than right-handed people.",5610,,1,,FALSE,3,69
FALSE,6,"Read the claim below, then answer the question at the end:

Claim: Comparisons of glacier counts are a reliable indicator of climate change
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,Comparisons of glacier counts are a reliable indicator of climate change,1130,1,,,,,
FALSE,7,"Read the claim below, then answer the question at the end:

Claim: Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.,5626,,1,,,,
FALSE,8,"Read the claim below, then answer the question at the end:

Claim: Precipitation in smoky areas following a wildfire is extremely toxic.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Precipitation in smoky areas following a wildfire is extremely toxic.,5629,,1,True:,,,
FALSE,10,"Read the claim below, then answer the question at the end:

Claim: Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.,1133,,1,Accuracy:,0.840336134,,
FALSE,12,"Read the claim below, then answer the question at the end:

Claim: Climate change is only driven by variations to Earth's orbital position relative to the sun
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Climate change is only driven by variations to Earth's orbital position relative to the sun,234,,1,Precision:,0.659574468,,
FALSE,13,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines was used to 'murder'
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,mRNA vaccines was used to 'murder',1025,,1,Recall:,0.911764706,,
FALSE,14,"Read the claim below, then answer the question at the end:

Claim: Millimeter wave body scanners used by airport security can alter your DNA.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,Millimeter wave body scanners used by airport security can alter your DNA.,5640,,1,F1:,0.765432099,,
