true/false,Unnamed: 0,prompts,GPT_Response_1,id,claim,gpt-true,gpt_false,,,predicted,,,
FALSE,0,"Read the claim below, then answer the question at the end:

Claim: Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,50,Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.,,1,,,TRUE,FALSE,,
FALSE,3,"Read the claim below, then answer the question at the end:

Claim: Post-pandemic stress disorder is caused by COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,918,Post-pandemic stress disorder is caused by COVID-19 vaccines.,,1,actual,TRUE,44,9,,
FALSE,4,"Read the claim below, then answer the question at the end:

Claim: Left-handed people, on average, die younger than right-handed people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

","The claim is generally considered FALSE. While some studies in the past suggested that left-handed people might have a shorter lifespan, more recent research has not supported this conclusion. The earlier studies had methodological issues, such as not accounting for generational shifts in handedness and biases in data collection. Current scientific consensus does not support the idea that left-handed people die younger than right-handed people.",5610,"Left-handed people, on average, die younger than right-handed people.",,1,,FALSE,4,67,,
FALSE,6,"Read the claim below, then answer the question at the end:

Claim: Comparisons of glacier counts are a reliable indicator of climate change
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1130,Comparisons of glacier counts are a reliable indicator of climate change,,1,,,,,,
FALSE,7,"Read the claim below, then answer the question at the end:

Claim: Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,5626,Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.,,1,,,,,,
FALSE,8,"Read the claim below, then answer the question at the end:

Claim: Precipitation in smoky areas following a wildfire is extremely toxic.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,5629,Precipitation in smoky areas following a wildfire is extremely toxic.,,1,True:,,,,,
FALSE,10,"Read the claim below, then answer the question at the end:

Claim: Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1133,Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.,,1,Accuracy:,0.89516129,,,,
FALSE,12,"Read the claim below, then answer the question at the end:

Claim: Climate change is only driven by variations to Earth's orbital position relative to the sun
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,234,Climate change is only driven by variations to Earth's orbital position relative to the sun,,1,Precision:,0.830188679,,,,
FALSE,13,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines was used to 'murder'
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1025,mRNA vaccines was used to 'murder',,1,Recall:,0.916666667,,,,
FALSE,14,"Read the claim below, then answer the question at the end:

Claim: Millimeter wave body scanners used by airport security can alter your DNA.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,5640,Millimeter wave body scanners used by airport security can alter your DNA.,,1,F1:,0.871287129,,,,
FALSE,15,"Read the claim below, then answer the question at the end:

Claim: U.S. carrots are 'soaked' in bleach, chlorpropham is used.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,145,"U.S. carrots are 'soaked' in bleach, chlorpropham is used.",,1,,,,,,
FALSE,17,"Read the claim below, then answer the question at the end:

Claim: Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE.,212,"Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage",1,,False:,,,,,
FALSE,18,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,247,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,,1,Accuracy:,0.89516129,,,,
FALSE,19,"Read the claim below, then answer the question at the end:

Claim: Arctic ice is 'making a comeback', longer-term trends show.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,363,"Arctic ice is 'making a comeback', longer-term trends show.",,1,Precision:,0.943661972,,,,
FALSE,21,"Read the claim below, then answer the question at the end:

Claim: There is a proven link between COVID-19 vaccines and aphasia, a language disorder.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,507,"There is a proven link between COVID-19 vaccines and aphasia, a language disorder.",,1,Recall:,0.881578947,,,,
FALSE,22,"Read the claim below, then answer the question at the end:

Claim: List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,812,List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.,,1,F1:,0.911564626,,,,
FALSE,23,"Read the claim below, then answer the question at the end:

Claim: People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,880,People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.,,1,,,,,,
FALSE,24,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines cause 93% of deaths that occur after inoculation
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,888,COVID-19 vaccines cause 93% of deaths that occur after inoculation,,1,,,,,,
FALSE,25,"Read the claim below, then answer the question at the end:

Claim: COVID-19 can only be caught once
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,919,COVID-19 can only be caught once,,1,,,,,,
FALSE,26,"Read the claim below, then answer the question at the end:

Claim: Pandemic preparedness scenario is an evidence of an orchestrated disease outbreak.
Question: Is this claim true or false? Answer with TRUE or FALSE.

","FALSE. Pandemic preparedness scenarios are exercises conducted by governments, health organizations, and other entities to simulate responses to potential disease outbreaks. These scenarios are designed to improve readiness and response strategies, not to orchestrate actual disease outbreaks.",942,Pandemic preparedness scenario is an evidence of an orchestrated disease outbreak.,,1,,,,,,
FALSE,27,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that COVID-19 vaccines affect male fertility.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,951,Evidence shows that COVID-19 vaccines affect male fertility.,,1,,,,,,
FALSE,29,"Read the claim below, then answer the question at the end:

Claim: Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1073,"Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.",,1,,,,,,
FALSE,30,"Read the claim below, then answer the question at the end:

Claim: Long COVID' is fake.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1081,Long COVID' is fake.,,1,,,,,,
FALSE,31,"Read the claim below, then answer the question at the end:

Claim: The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1082,The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.,,1,,,,,,
FALSE,32,"Read the claim below, then answer the question at the end:

Claim: COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1111,COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive,,1,,,,,,
FALSE,33,"Read the claim below, then answer the question at the end:

Claim: 3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE.,1158,"3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.",1,,,,,,,
FALSE,34,"Read the claim below, then answer the question at the end:

Claim: Predicting exactly when natural resources, species and ecosystems may disappear is possible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1184,"Predicting exactly when natural resources, species and ecosystems may disappear is possible.",,1,,,,,,
FALSE,36,"Read the claim below, then answer the question at the end:

Claim: The term 'fossil fuel' was coined by John D. Rockefeller to trick people into thinking oil is a scarce commodity
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1314,The term 'fossil fuel' was coined by John D. Rockefeller to trick people into thinking oil is a scarce commodity,,1,,,,,,
FALSE,37,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines alter DNA
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1475,mRNA vaccines alter DNA,,1,,,,,,
FALSE,39,"Read the claim below, then answer the question at the end:

Claim: Overdose of fentanyl just by being in its presence is possible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1486,Overdose of fentanyl just by being in its presence is possible.,,1,,,,,,
FALSE,40,"Read the claim below, then answer the question at the end:

Claim: Approved vaccines are more dangerous than COVID-19.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1545,Approved vaccines are more dangerous than COVID-19.,,1,,,,,,
FALSE,41,"Read the claim below, then answer the question at the end:

Claim: Hundreds of dead birds on ship deck are linked to 5G radiation.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1608,Hundreds of dead birds on ship deck are linked to 5G radiation.,,1,,,,,,
FALSE,42,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines are a ploy to connect people to 5G.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1611,COVID-19 vaccines are a ploy to connect people to 5G.,,1,,,,,,
FALSE,43,"Read the claim below, then answer the question at the end:

Claim: Variants are simply spike proteins; they are versions of the same virus that relate in sequence.
Question: Is this claim true or false? Answer with TRUE or FALSE.

","FALSE. Variants of a virus are not just spike proteins; they are versions of the virus that have mutations in their genetic material, which can occur in various parts of the virus's genome, not just the spike protein. The spike protein is one component of the virus, and changes in its sequence can affect how the virus interacts with host cells, but variants can also have mutations in other regions of the virus's genome.",1676,Variants are simply spike proteins; they are versions of the same virus that relate in sequence.,,1,,,,,,
FALSE,45,"Read the claim below, then answer the question at the end:

Claim: There is evidence that COVID-19 vaccines increase risk of miscarriage
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1778,There is evidence that COVID-19 vaccines increase risk of miscarriage,,1,,,,,,
FALSE,46,"Read the claim below, then answer the question at the end:

Claim: Hydroxychloroquine can be made at home using fruit peel
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1785,Hydroxychloroquine can be made at home using fruit peel,,1,,,,,,
FALSE,47,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines will kill people by causing antibody-dependent enhancement
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1827,COVID-19 vaccines will kill people by causing antibody-dependent enhancement,,1,,,,,,
FALSE,48,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines are infectious.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1935,COVID-19 vaccines are infectious.,,1,,,,,,
FALSE,49,"Read the claim below, then answer the question at the end:

Claim: Sneaker color shows what side of the brain is dominant.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1979,Sneaker color shows what side of the brain is dominant.,,1,,,,,,
FALSE,50,"Read the claim below, then answer the question at the end:

Claim: COVID vaccines 'shed' from one person to another and cause reproductive problems
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1981,COVID vaccines 'shed' from one person to another and cause reproductive problems,,1,,,,,,
FALSE,51,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines will cause 'cytokine storms', a life-threatening systemic inflammatory syndrome.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,1991,"COVID-19 vaccines will cause 'cytokine storms', a life-threatening systemic inflammatory syndrome.",,1,,,,,,
FALSE,52,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines reduce life expectancy or cause severe health issues.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,2016,mRNA vaccines reduce life expectancy or cause severe health issues.,,1,,,,,,
FALSE,53,"Read the claim below, then answer the question at the end:

Claim: “ethylene oxide-coated” swabs in lateral flow tests cause cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,2105,“ethylene oxide-coated” swabs in lateral flow tests cause cancer.,,1,,,,,,
FALSE,54,"Read the claim below, then answer the question at the end:

Claim: Motorized 'spermbot' has a connection to the COVID-19 vaccine.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE.,2138,Motorized 'spermbot' has a connection to the COVID-19 vaccine.,,1,,,,,,
