1true/false,Unnamed: 0,claim,prompts,GPT_Response_1,gpt_t,gpt_f,id,,,predicted,,,,
FALSE,0,Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.,"Read the claim below, then answer the question at the end:

Claim: Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,50,,,TRUE,FALSE,,,
FALSE,3,Post-pandemic stress disorder is caused by COVID-19 vaccines.,"Read the claim below, then answer the question at the end:

Claim: Post-pandemic stress disorder is caused by COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,918,actual,TRUE,52,12,,tp,fp
FALSE,4,"Left-handed people, on average, die younger than right-handed people.","Read the claim below, then answer the question at the end:

Claim: Left-handed people, on average, die younger than right-handed people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5610,,FALSE,8,65,,fn,tn
FALSE,6,Comparisons of glacier counts are a reliable indicator of climate change,"Read the claim below, then answer the question at the end:

Claim: Comparisons of glacier counts are a reliable indicator of climate change
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,1130,,,,,,,
FALSE,7,Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.,"Read the claim below, then answer the question at the end:

Claim: Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5626,True:,,,,,,
FALSE,8,Precipitation in smoky areas following a wildfire is extremely toxic.,"Read the claim below, then answer the question at the end:

Claim: Precipitation in smoky areas following a wildfire is extremely toxic.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5629,Accuracy,0.854014599,,,,,
FALSE,10,Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.,"Read the claim below, then answer the question at the end:

Claim: Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1133,Precision,0.8125,,,,,
FALSE,12,Climate change is only driven by variations to Earth's orbital position relative to the sun,"Read the claim below, then answer the question at the end:

Claim: Climate change is only driven by variations to Earth's orbital position relative to the sun
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,234,Recall,0.866666667,,,,,
FALSE,13,mRNA vaccines was used to 'murder',"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines was used to 'murder'
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1025,F1,0.838709677,,,,,
FALSE,14,Millimeter wave body scanners used by airport security can alter your DNA.,"Read the claim below, then answer the question at the end:

Claim: Millimeter wave body scanners used by airport security can alter your DNA.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5640,,,,,,,
FALSE,15,"U.S. carrots are 'soaked' in bleach, chlorpropham is used.","Read the claim below, then answer the question at the end:

Claim: U.S. carrots are 'soaked' in bleach, chlorpropham is used.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,145,,,,,,,
FALSE,17,"Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage","Read the claim below, then answer the question at the end:

Claim: Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,212,False:,,,,,,
FALSE,18,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,247,Accuracy:,0.854014599,,,,,
FALSE,19,"Arctic ice is 'making a comeback', longer-term trends show.","Read the claim below, then answer the question at the end:

Claim: Arctic ice is 'making a comeback', longer-term trends show.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,363,Precision:,0.890410959,,,,,
FALSE,21,"There is a proven link between COVID-19 vaccines and aphasia, a language disorder.","Read the claim below, then answer the question at the end:

Claim: There is a proven link between COVID-19 vaccines and aphasia, a language disorder.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,507,Recall:,0.844155844,,,,,
FALSE,22,List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.,"Read the claim below, then answer the question at the end:

Claim: List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,812,F1:,0.866666667,,,,,
FALSE,23,People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.,"Read the claim below, then answer the question at the end:

Claim: People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,880,,,,,,,
FALSE,24,COVID-19 vaccines cause 93% of deaths that occur after inoculation,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines cause 93% of deaths that occur after inoculation
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,888,,,,,,,
FALSE,25,COVID-19 can only be caught once,"Read the claim below, then answer the question at the end:

Claim: COVID-19 can only be caught once
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,919,,,,,,,
FALSE,26,Pandemic preparedness scenario is an evidence of an orchestrated disease outbreak.,"Read the claim below, then answer the question at the end:

Claim: Pandemic preparedness scenario is an evidence of an orchestrated disease outbreak.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,942,,,,,,,
FALSE,27,Evidence shows that COVID-19 vaccines affect male fertility.,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that COVID-19 vaccines affect male fertility.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,951,,,,,,,
FALSE,29,"Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.","Read the claim below, then answer the question at the end:

Claim: Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1073,,,,,,,
FALSE,30,Long COVID' is fake.,"Read the claim below, then answer the question at the end:

Claim: Long COVID' is fake.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1081,,,,,,,
FALSE,31,The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.,"Read the claim below, then answer the question at the end:

Claim: The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1082,,,,,,,
FALSE,32,COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive,"Read the claim below, then answer the question at the end:

Claim: COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1111,,,,,,,
FALSE,33,"3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.","Read the claim below, then answer the question at the end:

Claim: 3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,1158,,,,,,,
FALSE,34,"Predicting exactly when natural resources, species and ecosystems may disappear is possible.","Read the claim below, then answer the question at the end:

Claim: Predicting exactly when natural resources, species and ecosystems may disappear is possible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1184,,,,,,,
