Unnamed: 0,prompts,GPT_Response_1,id,claim,true/false
0,"Read the claim below, then answer the question at the end:

Claim: Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,50,Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.,False
1,"Read the claim below, then answer the question at the end:

Claim: Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.
Question: Is this claim true or false? Answer with TRUE or FALSE.

","As an AI, I don't have real-time access to the internet or the ability to browse the web, so I can't provide the current CDC guidance on monkeypox transmission. Please check the latest updates on the official CDC website.",132,Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.,True
2,"Read the claim below, then answer the question at the end:

Claim: Sun exposure, and diet, causes skin cancers.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,170,"Sun exposure, and diet, causes skin cancers.",True
3,"Read the claim below, then answer the question at the end:

Claim: Post-pandemic stress disorder is caused by COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,918,Post-pandemic stress disorder is caused by COVID-19 vaccines.,False
4,"Read the claim below, then answer the question at the end:

Claim: Left-handed people, on average, die younger than right-handed people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,5610,"Left-handed people, on average, die younger than right-handed people.",False
5,"Read the claim below, then answer the question at the end:

Claim: Hand sanitizer can invalidate breath alcohol test results.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,7240,Hand sanitizer can invalidate breath alcohol test results.,True
6,"Read the claim below, then answer the question at the end:

Claim: Comparisons of glacier counts are a reliable indicator of climate change
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1130,Comparisons of glacier counts are a reliable indicator of climate change,False
7,"Read the claim below, then answer the question at the end:

Claim: Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,5626,Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.,False
8,"Read the claim below, then answer the question at the end:

Claim: Precipitation in smoky areas following a wildfire is extremely toxic.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,5629,Precipitation in smoky areas following a wildfire is extremely toxic.,False
9,"Read the claim below, then answer the question at the end:

Claim: Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,367,Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.,True
10,"Read the claim below, then answer the question at the end:

Claim: Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1133,Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.,False
11,"Read the claim below, then answer the question at the end:

Claim: The macaw species from the Rio movies has been declared extinct in the wild.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,5603,The macaw species from the Rio movies has been declared extinct in the wild.,True
12,"Read the claim below, then answer the question at the end:

Claim: Climate change is only driven by variations to Earth's orbital position relative to the sun
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,234,Climate change is only driven by variations to Earth's orbital position relative to the sun,False
13,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines was used to 'murder'
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1025,mRNA vaccines was used to 'murder',False
14,"Read the claim below, then answer the question at the end:

Claim: Millimeter wave body scanners used by airport security can alter your DNA.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,5640,Millimeter wave body scanners used by airport security can alter your DNA.,False
15,"Read the claim below, then answer the question at the end:

Claim: U.S. carrots are 'soaked' in bleach, chlorpropham is used.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,145,"U.S. carrots are 'soaked' in bleach, chlorpropham is used.",False
16,"Read the claim below, then answer the question at the end:

Claim: Face masks generally block microplastics from entering people's lungs, but not completely.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,193,"Face masks generally block microplastics from entering people's lungs, but not completely.",True
17,"Read the claim below, then answer the question at the end:

Claim: Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage
Question: Is this claim true or false? Answer with TRUE or FALSE.

","As an AI, I don't have real-time access to the internet or databases to verify current claims or news. As of my last update in October 2021, there were no widely recognized studies that conclusively linked the Pfizer vaccine to a temporary drop in sperm count or sperm damage. Please consult the most recent and reliable sources for the most accurate information.",212,"Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage",False
18,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms
Question: Is this claim true or false? Answer with TRUE or FALSE.

",The claim cannot be verified as it lacks specific evidence or sources.,247,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,False
19,"Read the claim below, then answer the question at the end:

Claim: Arctic ice is 'making a comeback', longer-term trends show.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,363,"Arctic ice is 'making a comeback', longer-term trends show.",False
20,"Read the claim below, then answer the question at the end:

Claim: COVID-19 is caused by a virus, not snake venom.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,451,"COVID-19 is caused by a virus, not snake venom.",True
21,"Read the claim below, then answer the question at the end:

Claim: There is a proven link between COVID-19 vaccines and aphasia, a language disorder.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,507,"There is a proven link between COVID-19 vaccines and aphasia, a language disorder.",False
22,"Read the claim below, then answer the question at the end:

Claim: List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,812,List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.,False
23,"Read the claim below, then answer the question at the end:

Claim: People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,880,People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.,False
24,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines cause 93% of deaths that occur after inoculation
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,888,COVID-19 vaccines cause 93% of deaths that occur after inoculation,False
25,"Read the claim below, then answer the question at the end:

Claim: COVID-19 can only be caught once
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,919,COVID-19 can only be caught once,False
26,"Read the claim below, then answer the question at the end:

Claim: Pandemic preparedness scenario is an evidence of an orchestrated disease outbreak.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,942,Pandemic preparedness scenario is an evidence of an orchestrated disease outbreak.,False
27,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that COVID-19 vaccines affect male fertility.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,951,Evidence shows that COVID-19 vaccines affect male fertility.,False
28,"Read the claim below, then answer the question at the end:

Claim: Vaccines help reduce transmission by preventing infection in the first place, as well as reducing how infectious a person becomes once infected.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1061,"Vaccines help reduce transmission by preventing infection in the first place, as well as reducing how infectious a person becomes once infected.",True
29,"Read the claim below, then answer the question at the end:

Claim: Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1073,"Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.",False
30,"Read the claim below, then answer the question at the end:

Claim: Long COVID' is fake.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1081,Long COVID' is fake.,False
31,"Read the claim below, then answer the question at the end:

Claim: The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1082,The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.,False
32,"Read the claim below, then answer the question at the end:

Claim: COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,1111,COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive,False
33,"Read the claim below, then answer the question at the end:

Claim: 3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1158,"3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.",False
