,prompts,GPT_Response_1
0,"Read the claim below, then answer the question at the end:

Claim: Face masks generally block microplastics from entering people's lungs, but not completely.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
1,"Read the claim below, then answer the question at the end:

Claim: Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
2,"Read the claim below, then answer the question at the end:

Claim: COVID-19 is caused by a virus, not snake venom.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
3,"Read the claim below, then answer the question at the end:

Claim: There is a proven link between COVID-19 vaccines and aphasia, a language disorder.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
4,"Read the claim below, then answer the question at the end:

Claim: List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
5,"Read the claim below, then answer the question at the end:

Claim: People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
6,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines cause 93% of deaths that occur after inoculation
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
7,"Read the claim below, then answer the question at the end:

Claim: COVID-19 can only be caught once
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
8,"Read the claim below, then answer the question at the end:

Claim: Evidence shows that COVID-19 vaccines affect male fertility.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
9,"Read the claim below, then answer the question at the end:

Claim: Vaccines help reduce transmission by preventing infection in the first place, as well as reducing how infectious a person becomes once infected.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
10,"Read the claim below, then answer the question at the end:

Claim: Most cases of myocarditis, a heart disease, after COVID-19 vaccines are irreversible.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
11,"Read the claim below, then answer the question at the end:

Claim: Long COVID' is fake.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
12,"Read the claim below, then answer the question at the end:

Claim: The increases in maternal heat exposure and climate change is related to COVID-19 vaccines.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
13,"Read the claim below, then answer the question at the end:

Claim: No evidence aspirin is 'being attacked' because 'it's proven' to treat COVID-19
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
14,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines alter DNA
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
15,"Read the claim below, then answer the question at the end:

Claim: No evidence graphene oxide is present in available COVID-19 vaccines via lipid nanoparticles
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
16,"Read the claim below, then answer the question at the end:

Claim: Overdose of fentanyl just by being in its presence is possible.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
17,"Read the claim below, then answer the question at the end:

Claim: Approved vaccines are more dangerous than COVID-19.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
18,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines are a ploy to connect people to 5G.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
19,"Read the claim below, then answer the question at the end:

Claim: Variants are simply spike proteins; they are versions of the same virus that relate in sequence.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
20,"Read the claim below, then answer the question at the end:

Claim: Unvaccinated people are more susceptible to catching COVID-19 than vaccinated people.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
21,"Read the claim below, then answer the question at the end:

Claim: There is evidence that COVID-19 vaccines increase risk of miscarriage
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
22,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines will kill people by causing antibody-dependent enhancement
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
23,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines are infectious.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
24,"Read the claim below, then answer the question at the end:

Claim: COVID vaccines 'shed' from one person to another and cause reproductive problems
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
25,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines will cause 'cytokine storms', a life-threatening systemic inflammatory syndrome.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
26,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines reduce life expectancy or cause severe health issues.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
27,"Read the claim below, then answer the question at the end:

Claim: “ethylene oxide-coated” swabs in lateral flow tests cause cancer.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
28,"Read the claim below, then answer the question at the end:

Claim: Asymptomatic people can't infect others with COVID-19
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
29,"Read the claim below, then answer the question at the end:

Claim: Koch's postulates, a criteria to establish relationships between microbes and diseases, do not need to be fulfilled to prove the existence of a virus.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
30,"Read the claim below, then answer the question at the end:

Claim: Red Bull and Bang energy drinks test positive for various illicit and prescription drugs.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
31,"Read the claim below, then answer the question at the end:

Claim: Every cell in the human body is replaced every seven years.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
32,"Read the claim below, then answer the question at the end:

Claim: Using toilet paper as a barrier between you and a toilet seat poses more health risks than just sitting down without a barrier.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
33,"Read the claim below, then answer the question at the end:

Claim: Placing a raw, cut onion in contact with your foot overnight‚ purifies your blood, removes toxins, and heals your body.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
34,"Read the claim below, then answer the question at the end:

Claim: Cancer is caused by a deficiency of vitamin B17.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
35,"Read the claim below, then answer the question at the end:

Claim: Peanut butter can be used to diagnose Alzheimer's Disease.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
36,"Read the claim below, then answer the question at the end:

Claim: During pregnancy, if the mother suffers organ damage, the baby in the womb sends stem cells to repair the damaged organ.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
37,"Read the claim below, then answer the question at the end:

Claim: Marijuana plays a role in healing broken bones.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
38,"Read the claim below, then answer the question at the end:

Claim: Burning sage kills 94% of bacteria.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
39,"Read the claim below, then answer the question at the end:

Claim: A recent invasion of New Guinea Flatworms in Florida poses a significant risk to human health.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
40,"Read the claim below, then answer the question at the end:

Claim: If the vial to a mercury-containing vaccine is broken, the building must be evacuated.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",SUPPORT
41,"Read the claim below, then answer the question at the end:

Claim: Abortions increase a woman's risk of developing breast cancer.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
42,"Read the claim below, then answer the question at the end:

Claim: Salt lamps emit negatively charged ions, providing a myriad health benefits including reduced anxiety, improved sleep, increased energy, and protection from an electric smog.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
43,"Read the claim below, then answer the question at the end:

Claim: Women need more sleep than men because their brains get more use on a day-to-day basis.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
44,"Read the claim below, then answer the question at the end:

Claim: Vaccinated and boosted people are more susceptible to the omicron variant.
Question: Is this claim true or false? Answer with only the word SUPPORT if the claim is true, or only the word CONTRADICT if the claim is false.

",CONTRADICT
